### init: pwm
### init: IBUS
curAngle:-2.506687 P:-1.955216   I:-0.008122     D:-16.711248
curAngle:-4.523200 P:-3.528096   I:-0.023510     D:-12.803255
curAngle:-6.270268 P:-4.890809   I:-0.044841     D:-11.092495
curAngle:-7.634958 P:-5.955267   I:-0.070815     D:-8.664698
curAngle:-8.766237 P:-6.837665   I:-0.100638     D:-7.182727
curAngle:-9.729904 P:-7.589325   I:-0.133739     D:-6.118520
curAngle:-10.464164 P:-8.162047  I:-0.169338     D:-4.661966
curAngle:-11.062933 P:-8.629087  I:-0.206974     D:-3.801709
curAngle:-11.543372 P:-9.003830  I:-0.246245     D:-3.050408
curAngle:-11.993069 P:-9.354593  I:-0.287045     D:-2.855216
curAngle:-12.247749 P:-9.553245  I:-0.328712     D:-1.617020
curAngle:-12.556327 P:-9.793935  I:-0.371429     D:-1.959222
curAngle:-12.807813 P:-9.990093  I:-0.415001     D:-1.596735
curAngle:-13.024169 P:-10.158852         I:-0.459309     D:-1.373691
curAngle:-13.156860 P:-10.262351         I:-0.504069     D:-0.842485
curAngle:-13.280663 P:-10.358917         I:-0.549250     D:-0.786052
curAngle:-13.390627 P:-10.444689         I:-0.594804     D:-0.698180
curAngle:-13.481812 P:-10.515813         I:-0.640670     D:-0.578950
curAngle:-13.554076 P:-10.572179         I:-0.686781     D:-0.458823
Accel: X=0.08g Y=0.27g Z=1.07g
Gyro: X=-0.57 Y=0.77 Z=-0.87
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-13.619187 P:-10.622966         I:-0.736790     D:-0.383007
curAngle:-13.652647 P:-10.649064         I:-0.783237     D:-0.212442
curAngle:-13.675026 P:-10.666520         I:-0.829759     D:-0.142088
curAngle:-13.767515 P:-10.738662         I:-0.876596     D:-0.587233
curAngle:-13.771239 P:-10.741567         I:-0.923446     D:-0.023645
curAngle:-13.786345 P:-10.753348         I:-0.970347     D:-0.095906
curAngle:-13.799683 P:-10.763752         I:-1.017293     D:-0.084686
curAngle:-13.797786 P:-10.762273         I:-1.064234     D:0.012044
curAngle:-13.786010 P:-10.753087         I:-1.111134     D:0.074768
curAngle:-13.805464 P:-10.768261         I:-1.158100     D:-0.123517
curAngle:-13.842798 P:-10.797382         I:-1.205193     D:-0.237044
curAngle:-13.882020 P:-10.827975         I:-1.252420     D:-0.249027
curAngle:-13.930141 P:-10.865510         I:-1.299810     D:-0.305533
curAngle:-13.869624 P:-10.818306         I:-1.346994     D:0.384237
curAngle:-13.879882 P:-10.826307         I:-1.394214     D:-0.065128
curAngle:-13.892080 P:-10.835822         I:-1.441475     D:-0.077450
curAngle:-13.895685 P:-10.838634         I:-1.488748     D:-0.022888
curAngle:-13.912331 P:-10.851618         I:-1.536078     D:-0.105685
curAngle:-13.884295 P:-10.829749         I:-1.583312     D:0.178007
curAngle:-13.859360 P:-10.810300         I:-1.630461     D:0.158316
Accel: X=0.08g Y=0.26g Z=1.08g
Gyro: X=-1.51 Y=1.03 Z=-0.94
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-13.853992 P:-10.806114         I:-1.681333     D:0.031572
curAngle:-13.842198 P:-10.796914         I:-1.728424     D:0.074883
curAngle:-13.873481 P:-10.821315         I:-1.775622     D:-0.198619
curAngle:-13.915392 P:-10.854005         I:-1.822962     D:-0.266102
curAngle:-13.939922 P:-10.873139         I:-1.865869     D:-0.172143
curAngle:-13.934756 P:-10.869109         I:-1.971969     D:0.014655
