## init: i2c MPU
### init: pwm
### init: IBUS
curAngle:-1.143517 P:-2.115506   I:-0.005187     D:-0.000000
curAngle:-2.185864 P:-4.043848   I:-0.015598     D:-0.000000
curAngle:-3.144124 P:-5.816629   I:-0.030573     D:-0.000000
curAngle:-4.034064 P:-7.463018   I:-0.049786     D:-0.000000
curAngle:-4.878358 P:-9.024963   I:-0.073021     D:-0.000000
curAngle:-5.645414 P:-10.444016  I:-0.099909     D:-0.000000
curAngle:-6.332575 P:-11.715263  I:-0.130070     D:-0.000000
curAngle:-7.598198 P:-14.056667  I:-0.166258     D:-0.000000
curAngle:-8.540768 P:-15.800421  I:-0.206936     D:-0.000000
curAngle:-9.355122 P:-17.306974  I:-0.251493     D:-0.000000
curAngle:-9.316024 P:-17.234644  I:-0.295863     D:0.000000
curAngle:-10.078818 P:-18.645815         I:-0.343866     D:-0.000000
curAngle:-10.099771 P:-18.684576         I:-0.391970     D:-0.000000
curAngle:-10.066118 P:-18.622318         I:-0.439913     D:0.000000
curAngle:-10.547576 P:-19.513016         I:-0.490149     D:-0.000000
curAngle:-11.849595 P:-21.921751         I:-0.546586     D:-0.000000
curAngle:-12.561502 P:-23.238779         I:-0.606414     D:-0.000000
curAngle:-13.682717 P:-25.313026         I:-0.671582     D:-0.000000
curAngle:-13.558314 P:-25.082882         I:-0.736157     D:0.000000
Accel: X=0.23g Y=0.07g Z=1.07g
Gyro: X=0.19 Y=-0.92 Z=-0.01
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-14.270496 P:-26.400419         I:-0.809519     D:-0.000000
curAngle:-15.233620 P:-28.182198         I:-0.882074     D:-0.000000
curAngle:-15.857181 P:-29.335785         I:-0.957598     D:-0.000000
curAngle:-14.983934 P:-27.720280         I:-1.028964     D:0.000000
curAngle:-14.465860 P:-26.761843         I:-1.097862     D:0.000000
curAngle:-14.283724 P:-26.424889         I:-1.165892     D:0.000000
curAngle:-14.746109 P:-27.280302         I:-1.236125     D:-0.000000
curAngle:-15.173571 P:-28.071106         I:-1.308394     D:-0.000000
curAngle:-15.219604 P:-28.156269         I:-1.380882     D:-0.000000
curAngle:-15.051754 P:-27.845745         I:-1.452570     D:0.000000
curAngle:-14.956708 P:-27.669910         I:-1.523806     D:0.000000
curAngle:-16.265352 P:-30.090902         I:-1.601275     D:-0.000000
curAngle:-17.071854 P:-31.582930         I:-1.682585     D:-0.000000
curAngle:-16.341808 P:-30.232346         I:-1.760417     D:0.000000
curAngle:-15.977012 P:-29.557472         I:-1.836513     D:0.000000
curAngle:-15.372913 P:-28.439890         I:-1.909731     D:0.000000
curAngle:-16.411304 P:-30.360914         I:-1.987895     D:-0.000000
curAngle:-16.018488 P:-29.634203         I:-2.064188     D:0.000000
curAngle:-16.237186 P:-30.038795         I:-2.141522     D:-0.000000
curAngle:-17.015675 P:-31.478998         I:-2.222564     D:-0.000000
Accel: X=0.49g Y=0.44g Z=1.00g
Gyro: X=-5.63 Y=3.24 Z=0.00
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-17.416174 P:-32.219921         I:-2.312097     D:-0.000000
curAngle:-17.019852 P:-31.486727         I:-2.393159     D:0.000000
curAngle:-17.115158 P:-31.663042         I:-2.474676     D:-0.000000
curAngle:-17.544224 P:-32.456814         I:-2.558235     D:-0.000000
curAngle:-16.827234 P:-31.130384         I:-2.638380     D:0.000000
curAngle:-16.307047 P:-30.168037         I:-2.716047     D:0.000000
curAngle:-15.911435 P:-29.436155         I:-2.791830     D:0.000000
curAngle:-15.702546 P:-29.049711         I:-2.866618     D:0.000000
curAngle:-15.384310 P:-28.460974         I:-2.939891     D:0.000000
curAngle:-16.325779 P:-30.202692         I:-3.017647     D:-0.000000
curAngle:-17.173300 P:-31.770605         I:-3.099440     D:-0.000000
curAngle:-16.439699 P:-30.413445         I:-3.177739     D:0.000000
curAngle:-16.577419 P:-30.668226         I:-3.256694     D:-0.000000
curAngle:-16.171810 P:-29.917849         I:-3.333717     D:0.000000
curAngle:-15.586258 P:-28.834578         I:-3.407951     D:0.000000
curAngle:-15.791347 P:-29.213991         I:-3.483162     D:-0.000000
